eripaeticus|ypateicus|peripateticus|pypateticus|unknown
u|e|explanationum|explanationem|unknown
m|n|impugnans|inpugnans|unknown
u|n|compleus|complens|unknown
as|s|patrias|patris|unknown
y|i|Hierusolymam|Hierusolimam|y
iceret|ceret|subiiceret|subiceret|unknown
iu|ui|iuge|uige|unknown
e|a|uespere|uespera|unknown
y|i|Hierusolymam|Hierusolimam|y
uiginti|triginta|uiginti|triginta|unknown
-philipus|philipus|Pseudo-philippus|Pseudophilippus|unknown
|i|Mummi|Mummii|unknown
Corintho|Orintho|Corintho|Orintho|unknown
I|U|Iero|Uero|unknown
a|o|tragaediarum|tragoediarum|unknown
iatis|hiatis|Spartiatis|Sparthiatis|unknown
phone|fone|Triphone|Trifone|unknown
o|i|anno|anni|unknown
lpurnio|purnio|Calpurnio|Capurnio|unknown
um|ium|bellum|bellium|unknown
|s|Arpini|Arpinis|unknown
s||equestris|equestri|unknown
d|m|administrans|amministrans|unknown
C|E|Cleopatram|Eleopatram|unknown
oali|iliali|sociali|siciliali|unknown
hridati|ridati|Mithridati|Mitridati|unknown
u|o|consulatu|consolatu|unknown
i|y|Hircanus|Hyrcanus|y
Hyrcanus|Yrcanus|Hyrcanus|Yrcanus|unknown
m|n|Pompeius|Ponpeius|unknown
o|co|Maro|Marco|unknown
m|n|Pompeio|Ponpeio|unknown
resus|gresus|agressus|aggressus|unknown
Hyrcano|Yrcano|Hyrcano|Yrcano|unknown
sacerdote|acerdote|sacerdote|acerdote|unknown
be||plebe|ple|unknown
Hyrcanum|Yrcanum|Hyrcanum|Yrcanum|unknown
c|t|concione|contione|tc
i|e|Catiline|Cateline|unknown
sdem|dem|eosdem|eodem|unknown
n|m|unquam|umquam|unknown
m|s|Aristobolum|Aristobolus|unknown
IV|quattuor|IV|quattuor|unknown
p|b|Transalpina|Transalbina|unknown
uetonius|itonius|Suetonius|Sitonius|unknown
u|o|Britannus|Britannos|unknown
iarios|arios|stipendiarios|stipendarios|unknown
uacium|iratium|Duracium|Dirratium|unknown
o|io|Pompeo|Pompeio|unknown
y|i|Hierusolymis|Hierusolimis|y
y|i|Hierusolymam|Hierusolimam|y
m|d|illum|illud|unknown
t|l|Satathiel|Salathiel|unknown
d|t|Abiudh|Abiuth|unknown
et|ac|et|ac|unknown
bstinuit|stinuit|substinuit|sustinuit|unknown
|s|filii|filiis|unknown
ps|mp|ipsius|impius|unknown
a|e|Cleopatra|Cleopatre|unknown
